RK,NAME,TEAM,SALARY,YEAR
393,Harry Giles III,Portland Trail Blazers,1620564,2021
394,Frank Kaminsky,Phoenix Suns,1620564,2021
395,Langston Galloway,Phoenix Suns,1620564,2021
396,E'Twaun Moore,Phoenix Suns,1620564,2021
397,Tyler Johnson,Brooklyn Nets,1620564,2021
398,Wilson Chandler,Brooklyn Nets,1620564,2021
399,Markieff Morris,Los Angeles Lakers,1620564,2021
400,Udonis Haslem,Miami Heat,1620564,2021
401,Kent Bazemore,Golden State Warriors,1620564,2021
402,Wayne Ellington,Detroit Pistons,1620564,2021
403,Jared Dudley,Los Angeles Lakers,1620564,2021
404,Dwight Howard,Philadelphia 76ers,1620564,2021
405,Carmelo Anthony,Portland Trail Blazers,1620564,2021
406,Reggie Jackson,LA Clippers,1620564,2021
407,Nicolas Batum,LA Clippers,1620564,2021
408,JaKarr Sampson,Indiana Pacers,1620564,2021
409,Torrey Craig,Phoenix Suns,1620564,2021
410,Ryan Anderson,Houston Rockets,1620564,2021
411,Gerald Green,Houston Rockets,1620564,2021
412,Joe Johnson,Detroit Pistons,1620564,2021
413,Shaquille Harrison,Denver Nuggets,1620564,2021
414,Jeff Green,Brooklyn Nets,1620564,2021
415,Sterling Brown,Houston Rockets,1620564,2021
416,J.J. Barea,Dallas Mavericks,1620564,2021
417,Isaiah Hartenstein,Cleveland Cavaliers,1620564,2021
418,Thon Maker,Cleveland Cavaliers,1620564,2021
419,Jarell Martin,Cleveland Cavaliers,1620564,2021
420,Quinn Cook,Cleveland Cavaliers,1620564,2021
421,Matthew Dellavedova,Cleveland Cavaliers,1620564,2021
422,Wenyen Gabriel,New Orleans Pelicans,1620564,2021
423,Willy Hernangomez,New Orleans Pelicans,1620564,2021
424,Isaiah Thomas,New Orleans Pelicans,1620564,2021
425,Solomon Hill,Atlanta Hawks,1620564,2021
426,Vince Carter,Atlanta Hawks,1620564,2021
427,Dwight Buycks,Detroit Pistons,1600520,2021
428,Monte Morris,Denver Nuggets,1588231,2021
429,Antonio Blakeney,Chicago Bulls,1588231,2021
430,Tyrone Wallace,Atlanta Hawks,1588231,2021
431,Malachi Richardson,Philadelphia 76ers,1569360,2021
432,Georgios Papagiannis,Portland Trail Blazers,1544951,2021
433,Chinanu Onuaku,Portland Trail Blazers,1544951,2021
434,Wade Baldwin IV,Indiana Pacers,1544951,2021
435,Isaiah Whitehead,Detroit Pistons,1544951,2021
436,Paul Zipser,Chicago Bulls,1544951,2021
437,Jalen McDaniels,Charlotte Hornets,1517981,2021
438,Cody Martin,Charlotte Hornets,1517981,2021
439,Caleb Martin,Charlotte Hornets,1517981,2021
440,Dewan Hernandez,Toronto Raptors,1517981,2021
441,Daniel Gafford,Washington Wizards,1517981,2021
442,Anzejs Pasecniks,Washington Wizards,1517981,2021
443,Olumiye Oni,Utah Jazz,1517981,2021
444,Juwan Morgan,Utah Jazz,1517981,2021
445,Eric Paschall,Golden State Warriors,1517981,2021
446,Nigel Williams-Goss,Utah Jazz,1517981,2021
447,Matt Thomas,Utah Jazz,1517981,2021
448,Luguentz Dort,Oklahoma City Thunder,1517981,2021
449,Isaiah Roby,Oklahoma City Thunder,1517981,2021
450,Admiral Schofield,Oklahoma City Thunder,1517981,2021
451,Chris Silva,Sacramento Kings,1517981,2021
452,Terence Davis,Sacramento Kings,1517981,2021
453,Justin James,Sacramento Kings,1517981,2021
454,Rayjon Tucker,Philadelphia 76ers,1517981,2021
455,Nicolas Claxton,Brooklyn Nets,1517981,2021
456,Naz Reid,Minnesota Timberwolves,1517981,2021
457,Jaylen Nowell,Minnesota Timberwolves,1517981,2021
458,KZ Okpala,Miami Heat,1517981,2021
459,Talen Horton-Tucker,Los Angeles Lakers,1517981,2021
460,Ky Bowman,LA Clippers,1517981,2021
461,Terance Mann,LA Clippers,1517981,2021
462,Jalen Lecque,Indiana Pacers,1517981,2021
463,Chris Clemons,Houston Rockets,1517981,2021
464,Alen Smailagic,Golden State Warriors,1517981,2021
465,Mychal Mulder,Golden State Warriors,1517981,2021
466,Vlatko Cancar,Denver Nuggets,1517981,2021
467,Dean Wade,Cleveland Cavaliers,1517981,2021
468,Javonte Green,Chicago Bulls,1517981,2021
469,Bruno Fernando,Atlanta Hawks,1517981,2021
470,Carsen Edwards,Boston Celtics,1517981,2021
471,Omri Casspi,Memphis Grizzlies,1512601,2021
472,Lorenzo Brown,Guangzhou Guangzhou Long-Lions,1512601,2021
473,Isaiah Canaan,Milwaukee Bucks,1512601,2021
474,Dwyane Wade,Miami Heat,1512601,2021
475,Robert Woodard II,Sacramento Kings,1500000,2021
476,Paul Watson,Toronto Raptors,1445697,2021
477,Zylan Cheatham,Oklahoma City Thunder,1445697,2021
478,DaQuan Jeffries,Houston Rockets,1445697,2021
479,Theo Pinson,New York Knicks,1445697,2021
480,Kelan Martin,Indiana Pacers,1445697,2021
481,Jae'Sean Tate,Houston Rockets,1445697,2021
482,Taj Gibson,New York Knicks,1442968,2021
483,Jemerrio Jones,Milwaukee Bucks,1416852,2021
484,Elie Okobo,Brooklyn Nets,1416852,2021
485,Jaylen Adams,Milwaukee Bucks,1416852,2021
486,Dairis Bertans,New Orleans Pelicans,1416852,2021
487,Yante Maten,Boston Celtics,1416852,2021
488,Tarik Phillip,Washington Wizards,1416842,2021
489,Dakari Johnson,Memphis Grizzlies,1378242,2021
490,Kyle Collinsworth,Utah Jazz,1378242,2021
491,Brandon Paul,San Antonio Spurs,1378242,2021
492,Jaylen Morris,Milwaukee Bucks,1378242,2021
493,Rodney Purvis,Miami Heat,1378242,2021
494,David Stockton,Los Angeles Lakers,1378242,2021
495,Zhou Qi,Houston Rockets,1378242,2021
496,Aaron Jackson,Houston Rockets,1378242,2021
497,Ike Anigbogu,New Orleans Pelicans,1378242,2021
498,Vernon Carey Jr.,Charlotte Hornets,1350000,2021
499,Jabari Bird,Atlanta Hawks,1349464,2021
500,Ben Moore,San Antonio Spurs,1349383,2021
501,James Nunnally,New Orleans Pelicans,1349383,2021
502,Xavier Tillman,Memphis Grizzlies,1300000,2021
503,Tyrell Terry,Dallas Mavericks,1289846,2021
504,Alex Len,Washington Wizards,1265372,2021
505,Okaro White,Washington Wizards,1187862,2021
506,Noah Vonleh,Brooklyn Nets,1087776,2021
507,Nick Young,Denver Nuggets,1042584,2021
508,Nick Richards,Charlotte Hornets,1000000,2021
